Gene,logFC,pVal,pAdj,sdSF,sdGC
MET,-0.080954462,0.910896237,0.967402332,6.785756,14.582081
SYN2,-0.185886747,0.857807839,0.947157781,13.16515,13.47406
ELK1,0.455086495,0.399128254,0.707751326,15.305431,8.802818
NAV1,0.314134322,0.551190678,0.807936025,68.28562,38.01873
TNPO1,0.200493334,0.282308647,0.605215431,65.76708,85.77607
RNMT,0.252012912,0.32327446,0.646342514,105.30864,49.04748
SRP14,-0.050084292,0.708178817,0.88830879,165.7062,164.1113
CDK9,-0.066623773,0.693027107,0.880717351,58.73096,62.48988
TOR2A,-0.378323804,0.11065063,0.385166039,36.74122,40.74766
FPGS,0.272740967,0.673391388,0.871058241,24.965,14.76515
MRTFB,0.169490816,0.686640222,0.87722871,65.16121,24.73584
CBX5,-0.970451332,5.8169E-07,3.71735E-05,127.4142,168.5457
APOBEC3,0.084794513,0.601629605,0.833898259,76.16094,85.01422
SARDH,-0.044593632,0.970549787,0.991252317,9.67353,6.174184
VAV2,0.105817635,0.78192681,0.919004232,19.82988,32.95049
TEX15,-0.310777589,0.769710223,0.91422796,11.859323,6.866546
PPP2CB,-0.284471735,0.398400461,0.707255381,25.65126,31.2863
G0S2,1.162977709,0.044210044,0.229344172,971.3622,615.4887
DMAP1,-0.359674706,0.176977664,0.485361341,23.56043,20.38767
MCU,0.245827727,0.457487611,0.749615609,81.65276,50.13445
BCR,-0.475447728,0.077728539,0.316368834,21.9386,26.17889
FXYD5,-0.398616443,0.028597695,0.176907985,99.61383,145.46566
TFCP2,-0.089491463,0.857400581,0.947157781,26.16375,35.08715
POU6F1,0.217655367,0.497328955,0.776029445,25.71997,22.32238
UBP1,-0.221950637,0.406359627,0.712991578,112.51167,60.31744
NUAK2,0.516114838,0.486816645,0.768510607,8.186595,3.746467
CILK1,-0.27582092,0.43482433,0.735766188,38.87221,30.96653
SDHB,0.220416021,0.491359356,0.772662946,1323.164,1031.893
SNAP47,-0.091693881,0.824040079,0.935310681,25.91712,16.62674
KDSR,0.515347913,0.026859476,0.169708966,48.41544,36.04851
VPS4B,-0.424015646,0.022687845,0.153194552,167.7915,187.0319
RPS25,-0.405879985,0.022036447,0.15010034,937.5836,1387.9001
TAFAZZIN,0.233956304,0.378173558,0.692844819,39.42321,25.03416
ALDH3A2,-0.081209033,0.798870017,0.925782271,43.99448,25.66749
TMEM115,-0.340845872,0.328586135,0.651471839,38.60429,23.96603
HYAL2,0.34570622,0.349441748,0.670095939,42.15313,29.92369
IFRD2,-0.080664804,0.850046812,0.944830828,31.90074,17.01622
HYAL1,0.844390451,0.009166721,0.085177062,37.91256,35.85527
TUSC2,0.100854074,0.749213319,0.905265699,69.45322,79.75229
NPRL2,-0.122171636,0.702555997,0.88537663,28.29115,24.73709
RASSF1,-0.043936545,0.848295285,0.944367756,58.69144,28.81092
EPN3,-0.706326961,0.606191496,0.836887422,3.334767,11.398489
SLC3A2,0.035686462,0.88087154,0.957211895,78.13793,72.0116
NXF1,0.23052985,0.24323682,0.565328726,105.55989,53.18708
STX5A,-0.375620995,0.076104193,0.313899723,40.17817,26.84663
TNFRSF13B,-0.652994972,0.006799885,0.069449311,73.22277,60.81082
SPIRE2,-0.45615798,0.706380168,0.887267893,9.099846,10.322155
RAVER1,-0.700193702,0.070994048,0.301152481,16.34752,21.30333
2610507B11RIK,-0.242629615,0.386347373,0.698091525,135.6638,109.4397
AI597479,0.728188972,0.035739583,0.204075366,30.306106,9.731812
TMEM86A,0.19351914,0.674418062,0.871664857,38.66334,22.71564
IFI35,0.357663008,0.121657294,0.404527208,68.5423,52.026
RDM1,-0.877292958,0.040896581,0.219738425,57.26433,34.94213
NEDD8,-0.158433071,0.260012588,0.582906227,141.5276,179.1472
GOSR1,0.727253282,0.034191926,0.197908679,91.78657,30.62731
MRPL52,-0.10423882,0.580408736,0.822690498,134.40016,79.44269
KANSL3,0.242359377,0.283693054,0.606145762,58.58867,27.36127
EYA4,1.108257726,0.002587606,0.034951721,28.65532,16.92103
EBF3,0.315806383,0.756099403,0.90849164,23.23164,20.73095
FAF1,0.229127463,0.266155366,0.588753116,39.77515,30.83172
TSACC,-0.991183097,0.100661401,0.366157077,11.41784,11.34764
METTL16,0.186175238,0.628328586,0.848227338,78.11668,29.79322
PIGYL,-0.193754722,0.361100514,0.678399032,61.12569,53.63764
RBM25,0.102413554,0.381548388,0.695328046,323.3962,169.6139
PSEN2,0.209252757,0.646109126,0.856210799,31.50006,29.26814
ACAA1B,-0.138891707,0.808178745,0.92960577,34.9276,37.21858
PLCD1,0.716150041,0.26483689,0.587247017,29.57009,10.33261
FADS1,0.210808015,0.560691773,0.81311042,26.8844,12.24212
LMBR1,0.192594388,0.833522457,0.938455834,24.84084,18.91136
CARS,-0.348207537,0.462387412,0.752635378,32.49019,41.2464
KDELR3,-0.833341811,0.376900412,0.691889993,5.799003,13.686893
APIP,-0.286668591,0.369800397,0.686421437,56.8326,96.90419
PDHX,0.045101359,0.886095758,0.959536626,49.76836,23.75715
VAC14,-0.503151709,0.16664884,0.471574352,21.30873,27.22697
MCOLN2,1.107210045,0.043550961,0.227795343,33.64852,13.37604
AKT1S1,0.231366329,0.446562673,0.741723389,71.72002,26.68515
TBRG1,-0.150388365,0.322686157,0.645762353,95.15456,79.20982
ADSSL1,-0.0233293,0.969000609,0.990768794,21.15406,23.24233
BRF1,0.180832749,0.517706729,0.788112227,65.62536,31.4757
ODC1,-0.077191445,0.772205543,0.915038235,69.76861,46.42243
THG1L,-0.057359558,0.931191902,0.976731535,12.920178,7.803247
ADAM19,-0.060252151,0.913193552,0.968100173,13.78192,14.9753
PABPC4,-0.300072623,0.399160338,0.707751326,28.24258,44.04416
PLIN5,0.957486262,0.301820214,0.62520117,150.50075,74.01309
SUGP1,-0.009728236,0.972630418,0.99200703,23.4726,37.20199
DHDH,0.754819199,0.148349444,0.445968916,111.31265,74.57137
ZFP790,-0.51197673,0.289028332,0.612108291,27.36284,36.3744
PINLYP,0.514020252,0.737074532,0.900185331,10.410927,5.524012
FUZ,-0.402769227,0.499313093,0.777654901,25.36295,21.37836
PGAM1,0.311819619,0.228433134,0.548773976,232.3297,138.0997
EVI5,0.327457382,0.262632406,0.585391398,20.50854,22.45925
EVI5L,-0.492373999,0.382492441,0.695711449,27.8734,23.94601
SNAPC2,-0.448306285,0.263673406,0.586078154,34.52405,25.71334
GIT1,-0.251511004,0.617781259,0.842194268,24.40946,27.21072
GLTP,-0.557477043,0.021042092,0.145648115,41.98322,68.53789
BNIP2,0.288711716,0.075544572,0.31224957,166.14964,63.93975
CCNT1,0.065926769,0.778424366,0.917513415,98.85585,137.67442
SCARF2,0.14154012,0.727648658,0.896849179,16.90816,21.74719
BRMS1L,-0.052651403,0.862807467,0.949118594,26.81938,17.05716
MED15,-0.100382472,0.736812489,0.900004084,53.9572,84.66265
DHDDS,-0.134208547,0.692114562,0.880684572,15.90596,17.44641
CRYBG2,-1.447773049,0.253678318,0.576330604,8.998269,17.796163
UBXN11,-0.825692364,0.277801369,0.600681678,28.96501,22.83607
MOGAT1,0.707941319,0.542711929,0.802990046,14.105749,8.613892
TJAP1,-0.422775473,0.277163983,0.600283817,20.13186,27.33065
EHF,1.196053427,0.092748558,0.348742598,29.29121,14.89241
RPL15,-0.784891854,7.5076E-06,0.000343703,589.9014,1023.6079
TMEM167,-0.182026834,0.401944636,0.710444995,201.6778,110.9946
STEAP4,0.712764415,0.071424092,0.301994869,39.92337,39.50906
MPLKIP,-0.415329827,0.046696467,0.235923388,182.4641,126.0742
KIF11,-2.948137222,3.38E-25,1.89E-22,35.18422,129.45892
RPA3,-0.947722507,9.39004E-12,1.38698E-09,51.19828,117.81109
MLKL,-0.728849904,0.547200001,0.8056471,8.536582,7.436815
TNPO3,-0.142914972,0.383477974,0.696290692,52.98606,56.36787
TTLL5,-0.395843365,0.377485447,0.692123499,33.93271,26.84643
ZFP715,0.226255603,0.5487348,0.806600619,40.23788,53.99413
RETN,0.873832865,0.200541232,0.516628215,204.9859,225.2329
RPS5,-0.845401804,2.32482E-07,1.5895E-05,667.2827,1060.4565
ADGRL1,0.131294946,0.614034282,0.840996108,61.06582,44.31179
AMOTL1,0.741876807,0.001877153,0.027831993,86.82179,31.95856
ETV5,0.888879202,0.229815116,0.550185821,20.522222,6.815572
GFOD2,-0.557237061,0.248886061,0.571683727,15.13122,13.37921
ENKD1,-1.155105452,0.07339916,0.306865327,22.05138,19.88417
ATP6V0D1,-0.43324316,0.036357215,0.205820741,57.69224,43.35254
PTPRS,0.001765876,0.993919294,0.99831886,38.40582,35.42201
SLC41A1,-1.17615365,0.00861622,0.081218636,53.13007,74.09795
ZFP651,0.150550095,0.784623297,0.920282191,16.76049,16.19282
NELFB,-0.035333172,0.899054267,0.963633793,52.45394,51.7124
TMEM175,0.246208215,0.485509562,0.767918297,35.18693,35.31548
TANGO2,0.004663234,0.985372347,0.996124408,42.81903,22.84365
ALDH1A2,0.955268736,0.413929437,0.718316667,23.2203,6.49925
NDUFS2,0.048045835,0.816139551,0.932926696,229.0846,111.7996
ATRAID,0.299617373,0.240180911,0.561124324,87.73742,74.58284
CAD,-0.079490745,0.910824853,0.967402332,29.93115,19.22958
LYPD8,1.340761792,0.182757074,0.491437176,13.755258,7.343917
SH3BP5L,0.197491855,0.593829069,0.830075845,49.42823,13.66877
ATAD1,-0.290889396,0.235038529,0.5560355,78.6734,84.04164
PTEN,-0.263919145,0.082842479,0.327707096,186.2875,264.3958
PEA15A,0.506168837,0.064152583,0.284623688,65.5938,36.87334
TIMM23,-0.01842786,0.918508696,0.970030225,212.4325,236.9871
TNFAIP8L2,-0.064139343,0.885881391,0.959480142,37.87633,22.19767
TRNT1,-0.014389782,0.946867406,0.983357851,75.04628,66.31939
EHMT2,-0.616629955,0.043165099,0.226630989,49.5244,89.96574
ELOF1,-0.221003372,0.267476618,0.590924426,88.04719,120.19827
MED16,-0.233308546,0.435964533,0.736241602,22.57623,21.49161
ST3GAL1,0.232694525,0.603703114,0.835071972,27.90046,28.04397
TMEM259,0.226586688,0.384945424,0.697579919,80.86509,28.58163
RNF170,0.576215819,0.124691983,0.408859137,89.77833,44.74812
DEDD,0.366769073,0.209116745,0.527176138,80.251,44.63965
MCEMP1,-0.431137967,0.645078307,0.855641286,7.866941,8.430334
NIT1,-0.094885789,0.722301659,0.894256168,65.74738,59.66437
PAX5,0.082155795,0.93311642,0.977732846,4.850744,4.268919
PRDM15,-0.43775754,0.246992159,0.569959931,26.19971,78.21107
RNF168,-1.15449298,0.000196293,0.005235703,41.16175,45.46474
DYNLT2B,-0.449771904,0.243722978,0.565782095,22.26266,12.04112
CHP1,-0.115993878,0.577100455,0.820877305,74.03429,67.49799
TRPV4,-3.78748273,0.007700871,0.075310769,1.819099,11.17484
KLHL3,-0.143066963,0.847482801,0.943945238,9.878366,9.624561
TVP23B,0.314703627,0.117568078,0.397412743,29.71669,20.58085
DNAJC7,-0.020037918,0.852676011,0.945358186,110.59791,51.52137
CACYBP,-0.024291196,0.888503916,0.960393912,181.8445,166.6396
CLUAP1,-0.445406836,0.162766107,0.4668492,36.44373,64.65527
ZSWIM7,-0.021799737,0.967630316,0.990208357,37.00119,30.24781
PIGL,0.62561069,0.237628327,0.558740326,17.751035,5.643113
NDUFA2,0.112631458,0.575723363,0.820066966,707.5843,766.2785
PAM16,-0.089484212,0.604300191,0.83551507,127.01021,86.60562
GLIS2,-0.483579831,0.696919391,0.882749527,7.271725,4.997716
COX6C,0.218633721,0.343095598,0.664718752,1690.341,1817.395
BICC1,0.375394936,0.508889682,0.782763677,19.82633,13.45916
UBE2Z,0.24240853,0.388613881,0.699531793,47.39523,37.72307
TMEM87B,0.266482576,0.244894296,0.567625461,57.59905,33.24779
ANAPC1,-0.033198453,0.912500752,0.967867504,80.15585,94.85227
MERTK,1.473139336,0.000721485,0.013792776,44.45023,16.26958
TSG101,0.209693868,0.261754661,0.584385103,103.99353,76.03107
HPS5,0.266640889,0.579720148,0.822510866,45.73108,42.41688
MAP3K4,-0.4232487,0.251663136,0.574218845,56.85001,26.52823
PIEZO1,-0.305538087,0.590143182,0.828047261,39.65469,12.19769
BLK,0.362087136,0.717163046,0.892448826,20.887,11.32006
RNF166,-0.490770272,0.008023277,0.077543489,104.2941,93.44831
ANKRD28,0.366345521,0.211516842,0.529705565,84.97365,65.78549
ANKRD52,0.804035944,0.052434746,0.254328012,21.02394,12.88922
PKD2L2,1.075418957,0.136076799,0.427221664,18.521279,8.177006
SRP19,-0.568174053,0.000734142,0.013869712,70.1078,179.7872
WDFY2,0.181102106,0.526720435,0.79380709,70.22359,42.0995
RBSN,-0.276832602,0.530861849,0.795911516,23.17424,38.24913
MRPS25,-0.156869918,0.434274779,0.735392626,69.67504,47.32906
DGUOK,0.047857614,0.903459478,0.964766787,77.20187,25.05025
CAMTA1,-0.27533321,0.265531288,0.58795409,79.29541,108.27943
CSF1,0.316999557,0.464034215,0.753657597,25.86828,13.28752
STRIP1,-0.523126385,0.071138634,0.301357572,35.11329,37.65246
SLC25A11,-0.147602509,0.459683997,0.751491304,52.42875,55.49765
CMC2,-0.356060378,0.097269068,0.358761318,55.59154,70.5165
CHFR,-0.125582378,0.425410048,0.72876827,60.07157,66.36799
HOXA2,1.406404198,0.167482002,0.47303442,12.678673,3.186121
ADAM28,1.110457625,0.030289393,0.182998928,42.09559,21.3153
TEX261,-0.069979834,0.64789946,0.857421498,82.10386,82.66166
FAM120B,0.139097187,0.627851907,0.848022543,53.47786,39.7948
TBP,-0.263043466,0.400113162,0.70858181,55.55037,40.58815
PSMB1,-0.296560524,0.045385317,0.23261848,123.8915,453.3342
PDCD2,-0.164663853,0.496235283,0.775985933,64.63242,58.80249
DLL1,0.120325606,0.853925708,0.946062929,10.093086,7.370877
NOL3,-0.0576272,0.943481158,0.982204245,28.19494,24.09142
FHOD1,-0.395937211,0.489948156,0.771199183,25.83207,15.93533
ELMO3,0.381689885,0.424080351,0.727312439,29.93423,14.76922
STC1,-1.069277043,0.306921453,0.630626196,7.104231,5.751082
TPPP3,0.434474421,0.450127817,0.743893944,48.87002,46.66053
MSH3,0.176415278,0.507846634,0.782151756,45.40934,53.35776
TMEM208,0.345125399,0.060260314,0.274685488,106.9476,151.7519
E2F4,-0.432109314,0.081072732,0.32392973,68.54873,51.617
SURF4,0.037567172,0.824194262,0.935310681,106.09833,62.92068
SURF2,-0.324113931,0.39179333,0.702282602,24.80508,18.47387
DNAJB9,1.127603307,2.48525E-07,1.6918E-05,42.65146,26.78293
NAF1,0.483939875,0.204508408,0.522031327,41.28809,26.94751
YES1,1.23415399,0.001683488,0.025764928,28.43801,16.17112
PPP1CB,0.135104617,0.416105802,0.720528799,228.7553,205.9431
GORASP2,-0.205473492,0.340094193,0.661637025,59.7289,37.57941
TSEN15,-0.331726582,0.325133784,0.648156309,28.4129,41.2345
EFR3A,0.179094382,0.430272723,0.73178145,116.27743,46.52562
TRAPPC2L,-0.33875957,0.125259718,0.409688044,86.70384,158.42861
ACSF3,0.506045225,0.520622449,0.789633409,27.50684,11.49968
DDX19A,-0.234463853,0.354412454,0.672936671,55.35013,24.15613
GALNS,0.214284114,0.816680991,0.933273066,13.250984,9.620046
GATA2,1.473193132,0.118879402,0.398905871,8.071586,5.048395
C8G,1.884101428,0.081864841,0.32551051,13.701423,2.520393
ENTPD2,-0.026158831,0.972707741,0.99200703,14.564278,9.517321
RABL6,0.368126134,0.182917078,0.491437176,130.01393,65.08605
PTGDS,2.21603517,0.083274294,0.328338829,20.790182,3.289291
EDF1,-0.191281679,0.184151024,0.49320092,299.6147,377.4167
CLIC3,-0.097025368,0.949614772,0.984643609,24.40374,21.96107
NPDC1,0.228096878,0.70580309,0.886960978,31.632,22.15508
FBXW5,-0.474147475,0.124370725,0.40849013,41.03024,60.43675
SLC25A13,-0.378958608,0.474733262,0.761143303,40.10061,33.32657
UBE2I,-0.830432882,3.9732E-05,0.001436478,184.4513,282.2936
TSR3,-0.105874963,0.721608065,0.894046504,35.63261,23.92973
UNKL,0.393984335,0.125293117,0.409688044,18.42784,18.97668
LRRK1,0.590798656,0.178382361,0.48691294,58.26047,27.02405
ALDH1A3,0.73300337,0.246094109,0.568985654,15.627389,4.853469
ACTN1,0.294168068,0.293061316,0.616397235,265.8158,137.7235
SIRT2,0.270581882,0.222748449,0.541706027,55.27187,56.71881
HNRNPL,-0.234478768,0.261205847,0.583742499,357.1698,303.6687
NOLC1,-0.320109159,0.302238005,0.625526568,55.64111,50.06088
CASD1,0.608855579,0.059245696,0.272826432,110.39883,61.06276
CNKSR3,0.685597555,0.160705869,0.464324007,34.86091,11.27546
MTMR1,0.318201604,0.359124401,0.676941512,78.80275,42.52347
HMGB3,-1.434348061,3.069E-08,2.61149E-06,22.5305,40.12491
MAP2,0.107003346,0.883700126,0.958478433,12.30024,16.85747
CYP2J9,1.28035428,0.24225157,0.563976184,10.162188,3.259985
ABCA1,1.335903413,3.57073E-12,5.64716E-10,93.29345,47.06037
NIPSNAP3B,-0.02171618,0.926446378,0.974228426,42.94653,27.90976
LAGE3,-0.734640817,0.001171526,0.019690175,48.33282,60.02324
UBL4A|GM44504,-0.547421251,0.006187343,0.065229253,61.25289,112.21468
GDI1,0.08394615,0.67076025,0.869234666,113.45062,44.88507
SASH1,0.330774572,0.486276034,0.768353774,55.44951,37.60047
GADD45B,0.855228101,0.13568437,0.426537596,36.00461,25.98889
SLAMF6,-0.171265477,0.443868094,0.740357729,157.1065,116.2444
SLAMF1,0.073795468,0.75526076,0.908024674,88.60886,49.81748
ZDHHC12,0.365284957,0.293916923,0.616870946,38.5184,17.48238
ENDOG,0.631503254,0.098430046,0.361384277,76.11163,44.62693
CYBB,0.58174048,0.070108393,0.298979679,72.09858,39.46621
GOLGA7|GM6829,-0.070388052,0.733567047,0.898623241,86.59047,50.38204
XK,-0.654831762,0.423786033,0.72706749,6.775356,7.116078
PCOLCE2,0.34966033,0.68006231,0.875706824,15.02008,17.44798
CD48,-0.118206855,0.62753066,0.84789251,97.36752,40.46425
CLPX,0.336928085,0.111741435,0.386808677,81.59233,43.19866
TRABD,-0.075254714,0.722510093,0.894256168,43.54759,28.51461
DENND6B,0.800485559,0.122066191,0.404999016,20.94075,19.02048
CD83,-0.210492176,0.489029874,0.77037335,82.62375,44.74628
GZMB,-0.457981736,0.584168085,0.824810146,14.57697,12.69299
C4A,-5.95284115,0.044402215,0.229744045,0,32.40122
AGER,-0.117129236,0.877361996,0.955492587,10.76917,11.45045
ATF6B,0.203941741,0.482936807,0.766403972,58.91302,28.26506
EGFL8,-0.359940254,0.685615302,0.877052624,10.2054,11.55643
NOTCH4,-0.376578584,0.646642988,0.856483315,6.306637,6.93927
PPT2,-0.564798956,0.003037851,0.039054464,36.40123,47.4511
PRRT1,-0.105287859,0.476391649,0.762009057,37.05979,31.49646
RNF5,-0.092995199,0.585831067,0.825892041,59.74314,76.47632
CACFD1,0.546723479,0.183661992,0.492480872,36.12104,28.546
HIVEP2,0.687800817,7.54438E-05,0.002450672,104.80917,86.84545
ARNT,0.485421962,0.188783719,0.499682239,90.5756,41.84786
MOCS2,0.265277851,0.272259775,0.595775165,149.40285,99.61894
NAT9,0.283913955,0.566659426,0.815615395,29.52053,14.66972
LPL,1.40279525,0.017548159,0.129538672,2147.472,1053.851
ATP6V0E,0.172442005,0.24501542,0.567738113,218.1377,395.3598
ZFP318,0.911258481,0.001137358,0.019230688,79.53002,30.71911
SRF,0.266659812,0.527254785,0.794224478,32.78177,17.639
GATA3,0.029188815,0.869950496,0.95246844,121.85974,78.18087
HSPA8,0.047065857,0.805479691,0.92846908,921.1721,679.4361
SERAC1,0.990384015,0.107009421,0.378420076,5.696781,5.420519
PDZD11,-0.572492627,0.075219601,0.311564364,54.56875,41.97016
PSMA2,-0.255188064,0.110829975,0.385479212,185.0672,210.795
MRPL32,-0.366717266,0.033678604,0.196316417,100.46213,65.24231
SETDB1,0.114970049,0.699994551,0.884523462,60.2847,72.08372
ANXA9,1.36400457,0.376633345,0.691828597,9.506667,5.007027
PRUNE1,-0.901625069,0.242275264,0.563976184,12.44421,13.90994
CERS2,0.041065848,0.869799079,0.95246844,88.71885,51.57104
CAPZA2,0.087504559,0.400070727,0.70858181,119.48641,50.84752
PLEKHO1,0.430770646,0.137137764,0.428661603,38.59449,19.81394
VPS45,0.154016595,0.714314142,0.891539221,58.85194,35.68814
PRPF3,-0.423423021,0.088791473,0.340883436,25.38101,33.88017
ANP32E,-1.12299488,6.48382E-09,6.50752E-07,150.9178,319.615
APH1A,0.1210415,0.686110965,0.877052624,71.86672,42.88858
TAB2,0.292302112,0.106877227,0.378224794,139.59183,96.16354
PPIL4,0.048315317,0.810742036,0.930766099,98.84093,64.6841
CNIH1,-0.183654189,0.193619259,0.507533358,42.92425,76.69783
EPS8,0.025994916,0.970137982,0.991090329,47.82436,44.95195
MED22,0.211466543,0.515445865,0.786505789,20.22849,23.57729
SURF1,-0.053148787,0.826332866,0.935965569,57.44106,29.61376
MED28,-0.200738846,0.312381666,0.635818314,131.2297,157.6468
QDPR,0.128403388,0.568196083,0.816244249,43.38519,48.01811
SQSTM1,0.015481412,0.931144032,0.976731535,63.29908,90.77219
NFE2L2,0.462940255,0.005234619,0.058583585,84.5687,65.32327
RXRG,0.706239596,0.42789694,0.730199716,19.277574,8.379536
RXRA,-0.587035168,0.137418171,0.428862592,19.66335,21.66083
ADAMTSL4,1.520132622,0.196748865,0.51145165,13.471891,6.712299
FCRLS,0.246928254,0.878225852,0.955883362,6.17036,8.196256
CD5L,-0.658071415,0.558368211,0.81218609,10.10566,8.392074
PRPSAP1,-0.074109004,0.75330228,0.907058665,48.15626,47.58479
NCAPG,-2.567507821,1.19805E-09,1.34949E-07,23.4393,106.1251
LCORL|GM3414,0.476648852,0.055157093,0.261378513,116.9341,81.0344
LTA4H,-0.425376703,0.060481575,0.275199078,66.26008,69.02249
DSTN,0.533133099,0.001858426,0.027685416,172.28446,92.10376
MACROH2A1,-0.475620521,0.0017107,0.025953902,243.8609,349.962
GTF2IRD2,1.656560436,0.013007919,0.106393031,38.216521,9.251357
BOLA1,0.071866681,0.737786166,0.900632934,75.3698,99.32682
CASTOR2,-0.734243741,0.327562457,0.650108854,40.82449,33.0595
FCGR1,1.387938134,0.016671212,0.124768466,39.623887,8.179068
NCF1,0.885457796,0.023387417,0.155936498,19.74514,7.092948
ADSS,-0.193294161,0.277545525,0.600571919,72.16773,81.32378
IL17RB,0.149615331,0.691463345,0.880570548,29.37575,24.54477
CHDH,0.274518399,0.3822333,0.695328046,53.18319,22.87294
ACTR8,0.076908601,0.790458864,0.922495187,79.01429,51.34534
LRRC27,-1.334535382,0.156961757,0.457985505,5.347656,10.797718
FNTA,-0.026723714,0.903877497,0.964766787,66.84132,75.34714
MTREX,-0.713961097,0.002984572,0.038651321,46.14879,27.05213
LBP,0.436800422,0.576499226,0.820448316,11.286637,9.431441
CELSR1,-0.430721684,0.256297858,0.5792228,21.00436,23.87067
FLI1,0.085473235,0.595195842,0.83111602,123.15418,68.62622
STARD13,-0.918423902,0.35180897,0.671658705,7.72278,9.94441
TENM1,-0.994809595,0.063726317,0.283697171,10.97175,13.62519
UTP25,0.179518639,0.569496499,0.817062832,71.78371,115.75533
HSD11B1,0.609465284,0.008086919,0.077870169,130.6516,84.5996
SYT14,0.068692613,0.945309999,0.982783443,13.022521,7.950243
H2-M3,0.326487259,0.298798593,0.621864891,38.04078,38.6815
LONRF3,-2.804240943,0.008248295,0.078938607,2.807752,7.535301
ATP5E,0.122399895,0.571101024,0.817885278,1190.032,1359.388
NELFCD,-0.434462055,0.236868492,0.557943429,47.83837,47.67942
CTSZ,1.195599682,1.90974E-05,0.000762777,423.2603,138.1516
PRELID3B,-0.505092156,0.032425467,0.191579448,97.3596,79.53997
SERTAD4,2.991069877,0.004549419,0.052375185,11.349346,2.903352
H2-M2,0.80255715,0.019660221,0.139189837,39.11632,24.77983
UBE2A,-0.025084801,0.90326377,0.964766787,112.2733,64.52971
SLC25A5,-0.568551992,0.00242692,0.033597069,670.207,1436.554
PPDPF,0.011108968,0.960661108,0.987659791,150.3396,103.4744
EEF1A2,1.001588762,0.252663402,0.575746018,12.76773,4.78601
COL20A1,0.002348123,0.998798244,0.999622341,6.109016,9.366984
PLS3,0.418377991,0.389091279,0.700087739,25.73762,15.97717
MPPED2,0.409814309,0.684841528,0.877052624,13.436108,5.301475
NKAP,-0.310338814,0.208843935,0.527176138,129.9888,161.8383
NDUFA1,0.327218906,0.13563003,0.426537596,740.4832,568.4204
WT1,-0.296371679,0.836975325,0.93981912,5.686599,10.066802
E2F3,-0.145345198,0.723190822,0.894702508,36.95649,27.28512
CR1L,0.276374423,0.128769234,0.415877568,113.5089,101.2732
PPFIBP1,0.362866519,0.393487067,0.703583256,59.64691,44.04824
CD46,1.336806782,0.002445361,0.033703361,55.8612,27.8942
CD34,0.407432082,0.248934179,0.571683727,26.00891,32.43196
PLGRKT,-0.049321295,0.752475246,0.906700964,94.46534,68.98019
CD274,0.095133224,0.77936036,0.917546068,28.58261,17.97709
PDCD1LG2,0.287802567,0.76638081,0.912842781,6.498354,5.657547
GTF3A,-0.532129182,0.039303509,0.215641173,58.80473,29.82935
MTIF3,-0.158182875,0.571559352,0.818073386,55.25746,84.89257
LNX2,0.370695804,0.344447683,0.665969051,14.87177,16.14259
MAPKAPK2,-0.212083049,0.317174801,0.640361814,48.72053,44.63938
IL10,3.363472168,0.013247926,0.107752089,13.685428,1.407395
LAMP2,0.59566625,5.76467E-05,0.001970686,190.6835,179.3242
ATXN10,-0.539940513,0.009626421,0.087781518,73.85116,92.60064
FOXRED2,1.062237277,0.295437224,0.618301709,15.075675,5.900139
EIF3D,-0.275008566,0.184501543,0.493606872,84.8494,61.45608
H3F3B,-0.619120907,1.97142E-06,0.000108303,485.6242,893.8226
NUP50,-0.480484977,0.022184532,0.150822069,64.90996,59.42941
PHF21B,3.720326552,0.20407681,0.521517848,33.483778,1.662594
IFT27,-1.507901513,0.000154164,0.004356941,34.52532,35.53438
PACSIN2,-0.097237466,0.751200684,0.906058786,27.20276,31.36536
CMAH,0.602353051,0.005049979,0.05684222,134.18915,40.10021
TTLL12,-0.368957815,0.263502783,0.585865248,44.72719,42.92544
BIK,0.441182116,0.685133452,0.877052624,17.848892,6.751996
TOX4,-0.245939551,0.316377871,0.639549661,102.01863,82.07281
MRPS18C,-0.263070709,0.102497985,0.369723525,118.9375,129.3242
SULF1,1.001481085,0.011487985,0.098557467,40.2806,22.37101
SRSF6,0.110895309,0.623922321,0.84553269,131.4155,135.3685
PLCG1,-0.015078301,0.953015685,0.985975121,45.62462,33.80229
KCTD2,-0.481696326,0.08677287,0.336871517,34.65572,33.13819
KCTD5,-1.057424892,0.016601558,0.124547482,21.51337,20.54144
ETAA1,-0.068300351,0.765566072,0.912628901,68.39869,52.67282
SLPI,0.246764893,0.768508669,0.913490951,88.63318,109.39626
SDC4,0.746815215,0.000670159,0.012969934,206.5983,114.1226
IL13RA1,0.880926538,0.003617577,0.044215768,35.11982,19.86148
NBR1,0.427103956,0.152557097,0.451601638,89.35832,33.66093
CYTH1,0.090154201,0.711442614,0.889920765,72.36611,41.19298
RND3,-0.205911461,0.597745978,0.832578814,36.39288,15.7765
BRCA1,-2.554571876,1.39165E-05,0.000588706,16.14607,33.49287
NT5C3B,-0.811645046,0.001890574,0.027925208,34.88726,61.79358
COA3,-0.026802988,0.881912377,0.95782414,219.9179,275.1085
ZPBP2,1.481173285,0.048704164,0.243086099,13.88089,2.928968
MED24,-0.6406136,0.091996401,0.3473964,16.80845,44.30955
PSMD3,-0.366390497,0.037665527,0.209718761,56.81807,32.90824
